Peak.Chpreffed	Peak.Humreffed	ATAC11_SKM_Hyb1_Human_chpreffed_all_peaks.txt	ATAC11_SKM_Hyb1_Chimp_chpreffed_all_peaks.txt	Sum Human	Sum Chimp	Binomial p-value
peak_CM_HP_MN_PP_SKM_267098_promoter_GDNF-AS1_GDNF	peak_CM_HP_MN_PP_SKM_267098_promoter_GDNF_GDNF-AS1	19	33	19	33	0.07039422106706228
peak_CM_HP_MN_PP_SKM_135698_promoter_SPECC1	peak_CM_HP_MN_PP_SKM_135698_promoter_SPECC1	29	19	29	19	0.19341265286193737
peak_CM_HP_MN_PP_SKM_1232_promoter_NPHP4_KCNAB2	peak_CM_HP_MN_PP_SKM_1232_promoter_NPHP4_KCNAB2	92	76	92	76	0.2470819717986578
peak_CM_HP_MN_PP_SKM_117051_promoter_PPCDC	peak_CM_HP_MN_PP_SKM_117051_promoter_PPCDC	35	48	35	48	0.18745986796619285
peak_CM_HP_PP_SKM_158280_enhancer_NFIX_30108.5_LYL1_48798.0	peak_CM_HP_PP_SKM_158280_enhancer_NFIX_30099.5_LYL1_48777.5	20	29	20	29	0.2528697301676033
peak_CM_HP_MN_PP_SKM_248574_promoter_KCTD8	peak_CM_HP_MN_PP_SKM_248574_promoter_KCTD8	43	55	43	55	0.2664055944111921
peak_CM_HP_MN_PP_SKM_275026_promoter_GDF9_UQCRQ	peak_CM_HP_MN_PP_SKM_275026_promoter_GDF9_UQCRQ	58	45	58	45	0.23690187778029279
peak_CM_HP_MN_PP_SKM_53047_promoter_DENND5A	peak_CM_HP_MN_PP_SKM_53047_promoter_DENND5A	25	36	25	36	0.20003136851310313
peak_CM_HP_MN_PP_SKM_125117_promoter_KCTD13	peak_CM_HP_MN_PP_SKM_125117_promoter_KCTD13	38	26	38	26	0.16864291143970336
peak_CM_HP_MN_PP_SKM_9503_promoter_HYI	peak_CM_HP_MN_PP_SKM_9503_promoter_HYI	37	21	37	21	0.047940324071666984
peak_CM_HP_MN_PP_SKM_133959_promoter_RPL26	peak_CM_HP_MN_PP_SKM_133959_promoter_RPL26	74	44	74	44	0.007330019969069098
peak_CM_HP_MN_PP_SKM_334928_enhancer_DCSTAMP_112322.0_DPYS_239351.0	peak_CM_HP_MN_PP_SKM_334928_enhancer_DCSTAMP_116204.5_DPYS_243279.5	31	21	31	21	0.21160856876151612
peak_CM_HP_MN_PP_SKM_138354_promoter_EZH1	peak_CM_HP_MN_PP_SKM_138354_promoter_EZH1	32	42	32	42	0.29541328065567
peak_CM_HP_MN_PP_SKM_287566_promoter_CNPY3	peak_CM_HP_MN_PP_SKM_287566_promoter_CNPY3	51	40	51	40	0.29446978456853373
peak_CM_HP_MN_PP_SKM_259055_promoter_LRBA	peak_CM_HP_MN_PP_SKM_259055_promoter_LRBA	40	51	40	51	0.29446978456853373
peak_CM_HP_MN_PP_SKM_65583_promoter_YAP1	peak_CM_HP_MN_PP_SKM_65583_promoter_YAP1	40	51	40	51	0.29446978456853373
peak_CM_HP_MN_PP_SKM_292846_promoter_NDUFAF4	peak_CM_HP_MN_PP_SKM_292846_promoter_NDUFAF4	61	49	61	49	0.294233708444292
peak_CM_HP_MN_PP_SKM_215727_promoter_MN1	peak_CM_HP_MN_PP_SKM_215727_promoter_MN1	40	51	40	51	0.29446978456853373
peak_CM_HP_MN_PP_SKM_339934_promoter_CYC1	peak_CM_HP_MN_PP_SKM_339934_promoter_CYC1	61	49	61	49	0.294233708444292
peak_CM_HP_MN_PP_SKM_171339_promoter_CENPA_SLC35F6	peak_CM_HP_MN_PP_SKM_171339_promoter_CENPA_SLC35F6	42	32	42	32	0.29541328065567
peak_CM_HP_MN_PP_SKM_193580_promoter_PNKD	peak_CM_HP_MN_PP_SKM_193580_promoter_PNKD	32	42	32	42	0.29541328065567
peak_CM_HP_MN_PP_SKM_255794_promoter_C4orf3	peak_CM_HP_MN_PP_SKM_255794_promoter_C4orf3	32	42	32	42	0.29541328065567
peak_CM_HP_MN_PP_SKM_82740_promoter_SOCS2	peak_CM_HP_MN_PP_SKM_82740_promoter_SOCS2	57	44	57	44	0.23230046428473866
peak_CM_MN_PP_SKM_116764_enhancer_STOML1_9685.5_PML_12181.0	peak_CM_MN_PP_SKM_116764_enhancer_STOML1_9677.5_PML_12175.0	34	25	34	25	0.2975952082844287
peak_CM_HP_MN_PP_SKM_175535_promoter_BCL11A	peak_CM_HP_MN_PP_SKM_175535_promoter_BCL11A	34	25	34	25	0.2975952082844287
peak_CM_HP_MN_PP_SKM_286234_enhancer_ARMC12_9142.5_FKBP5_39320.5	peak_CM_HP_MN_PP_SKM_286234_enhancer_ARMC12_9169.0_FKBP5_38978.5	34	25	34	25	0.2975952082844287
peak_CM_MN_PP_SKM_302553_enhancer_FOXK1_43351.5_AP5Z1_49695.5	peak_CM_MN_PP_SKM_302553_enhancer_FOXK1_43141.0_AP5Z1_49985.0	25	34	25	34	0.2975952082844287
peak_CM_MN_PP_SKM_111028_promoter_MKRN3	peak_CM_MN_PP_SKM_111028_promoter_MKRN3	25	34	25	34	0.2975952082844287
peak_SKM_357763_enhancer_PJA1_73239.5_FAM155B_292829.5	peak_SKM_357763_enhancer_PJA1_73182.0_FAM155B_266564.5	34	25	34	25	0.2975952082844287
peak_CM_SKM_152042_enhancer_SEC11C_98531.0_ZNF532_177311.0	peak_CM_SKM_152042_enhancer_SEC11C_97539.0_ZNF532_178154.5	25	34	25	34	0.2975952082844287
peak_CM_HP_MN_PP_SKM_354427_enhancer_RALGDS_12173.5_RALGDS_15550.5	peak_CM_HP_MN_PP_SKM_354427_enhancer_RALGDS_12410.5_RALGDS_15552.5	25	34	25	34	0.2975952082844287
peak_CM_HP_MN_PP_SKM_228496_promoter_SUCLG2	peak_CM_HP_MN_PP_SKM_228496_promoter_SUCLG2	25	34	25	34	0.2975952082844287
peak_CM_HP_MN_PP_SKM_215886_promoter_KREMEN1	peak_CM_HP_MN_PP_SKM_215886_promoter_KREMEN1	34	25	34	25	0.2975952082844287
peak_CM_HP_MN_PP_SKM_249150_enhancer_ERVMER34-1_29354.0_USP46_62953.0	peak_CM_HP_MN_PP_SKM_249150_enhancer_ERVMER34-1_29096.0_USP46_63183.5	25	34	25	34	0.2975952082844287
peak_CM_HP_MN_PP_SKM_78697_promoter_LRP1	peak_CM_HP_MN_PP_SKM_78697_promoter_LRP1	51	28	51	28	0.012812402175831373
peak_CM_HP_MN_PP_SKM_305826_promoter_GGCT	peak_CM_HP_MN_PP_SKM_305826_promoter_GGCT	55	38	55	38	0.09656519729770463
peak_CM_HP_MN_PP_SKM_59608_promoter_ZBTB3	peak_CM_HP_MN_PP_SKM_59608_promoter_ZBTB3	109	91	109	91	0.22924659725971616
peak_CM_HP_MN_PP_SKM_191006_promoter_PLCL1	peak_CM_HP_MN_PP_SKM_191006_promoter_PLCL1	47	35	47	35	0.22424452830608183
peak_CM_HP_MN_PP_SKM_305327_promoter_HOXA10	peak_CM_HP_MN_PP_SKM_305327_promoter_HOXA10	52	36	52	36	0.1092954297773143
peak_CM_HP_MN_PP_SKM_344195_promoter_HRCT1	peak_CM_HP_MN_PP_SKM_344195_promoter_HRCT1	49	38	49	38	0.2836071084054854
peak_CM_HP_MN_PP_SKM_164160_promoter_PPP1R37	peak_CM_HP_MN_PP_SKM_164160_promoter_PPP1R37	71	84	71	84	0.33513520108323536
peak_CM_HP_MN_PP_SKM_78853_promoter_OS9	peak_CM_HP_MN_PP_SKM_78853_promoter_OS9	62	50	62	50	0.29859285283284626
peak_CM_HP_MN_PP_SKM_106646_enhancer_FOS_20499.0_TMED10_84548.5	peak_CM_HP_MN_PP_SKM_106646_enhancer_FOS_20391.0_TMED10_82429.5	62	50	62	50	0.29859285283284626
peak_CM_HP_MN_PP_SKM_298467_promoter_GINM1	peak_CM_HP_MN_PP_SKM_298467_promoter_GINM1	50	62	50	62	0.29859285283284626
peak_CM_HP_MN_PP_SKM_53095_promoter_WEE1	peak_CM_HP_MN_PP_SKM_53095_promoter_WEE1	102	72	102	72	0.027626051149795043
peak_CM_HP_MN_SKM_44231_promoter_ACTA2	peak_CM_HP_MN_SKM_44231_promoter_ACTA2	72	51	72	51	0.0709016673750142
peak_CM_HP_MN_PP_2159_enhancer_TMEM201_5379.0_SLC25A33_54535.5	peak_CM_HP_MN_PP_2159_enhancer_TMEM201_5383.5_SLC25A33_54749.5	19	27	19	27	0.3019956131896606
peak_CM_HP_MN_PP_SKM_60275_promoter_CAPN1	peak_CM_HP_MN_PP_SKM_60275_promoter_CAPN1	33	43	33	43	0.3018724904870079
peak_CM_HP_MN_PP_SKM_274958_enhancer_IRF1_5960.5_IL5_40908.5	peak_CM_HP_MN_PP_SKM_274958_enhancer_IRF1_5974.5_IL5_46999.0	27	19	27	19	0.3019956131896606
peak_CM_HP_MN_PP_SKM_226281_promoter_HYAL2	peak_CM_HP_MN_PP_SKM_226281_promoter_HYAL2	61	73	61	73	0.34201470886630897
peak_CM_HP_MN_PP_SKM_356419_promoter_PHKA2	peak_CM_HP_MN_PP_SKM_356419_promoter_PHKA2	33	43	33	43	0.3018724904870079
peak_CM_HP_MN_PP_SKM_91965_promoter_NBEA	peak_CM_HP_MN_PP_SKM_91965_promoter_NBEA	19	27	19	27	0.3019956131896606
peak_CM_HP_MN_PP_224741_promoter_VIPR1	peak_CM_HP_MN_PP_224741_promoter_VIPR1	19	27	19	27	0.3019956131896606
peak_CM_HP_MN_PP_SKM_103060_promoter_VCPKMT	peak_CM_HP_MN_PP_SKM_103060_promoter_VCPKMT	27	19	27	19	0.3019956131896606
peak_CM_HP_MN_PP_SKM_84132_promoter_NT5DC3	peak_CM_HP_MN_PP_SKM_84132_promoter_NT5DC3	19	27	19	27	0.3019956131896606
peak_CM_HP_MN_PP_SKM_62162_promoter_ARAP1	peak_CM_HP_MN_PP_SKM_62162_promoter_ARAP1	27	19	27	19	0.3019956131896606
peak_CM_HP_MN_PP_SKM_288408_promoter_CD2AP	peak_CM_HP_MN_PP_SKM_288408_promoter_CD2AP	19	27	19	27	0.3019956131896606
peak_CM_HP_MN_PP_SKM_55475_promoter_BDNF	peak_CM_HP_MN_PP_SKM_55475_promoter_BDNF	19	27	19	27	0.3019956131896606
peak_CM_SKM_158295_enhancer_LYL1_10974.5_TRMT1_25142.0	peak_CM_SKM_158295_enhancer_LYL1_10972.5_TRMT1_24820.5	43	33	43	33	0.3018724904870079
peak_CM_HP_MN_PP_SKM_77292_promoter_POU6F1	peak_CM_HP_MN_PP_SKM_77292_promoter_POU6F1	19	27	19	27	0.3019956131896606
peak_CM_HP_MN_PP_SKM_51433_promoter_CYP2E1	peak_CM_HP_MN_PP_SKM_51433_promoter_CYP2E1	19	27	19	27	0.3019956131896606
peak_CM_HP_MN_PP_SKM_140950_promoter_CUEDC1	peak_CM_HP_MN_PP_SKM_140950_promoter_CUEDC1	19	27	19	27	0.3019956131896606
peak_CM_HP_MN_PP_SKM_344073_promoter_RUSC2	peak_CM_HP_MN_PP_SKM_344073_promoter_RUSC2	41	52	41	52	0.29973169689703033
peak_CM_MN_PP_SKM_272935_promoter_TSSK1B	peak_CM_MN_PP_SKM_272935_promoter_TSSK1B	19	27	19	27	0.3019956131896606
peak_CM_HP_MN_PP_SKM_59152_promoter_VWCE	peak_CM_HP_MN_PP_SKM_59152_promoter_VWCE	27	19	27	19	0.3019956131896606
peak_CM_HP_MN_PP_SKM_157820_promoter_RAB3D	peak_CM_HP_MN_PP_SKM_157820_promoter_RAB3D	19	27	19	27	0.3019956131896606
peak_CM_HP_MN_PP_SKM_121624_promoter_RNPS1	peak_CM_HP_MN_PP_SKM_121624_promoter_RNPS1	61	73	61	73	0.34201470886630897
peak_CM_HP_MN_PP_SKM_20454_promoter_ASH1L	peak_CM_HP_MN_PP_SKM_20454_promoter_ASH1L	74	61	74	61	0.30168250274562963
peak_CM_HP_MN_PP_SKM_51606_promoter_SLC25A22	peak_CM_HP_MN_PP_SKM_51606_promoter_SLC25A22	72	85	72	85	0.33823533079501217
peak_CM_HP_MN_PP_SKM_358839_promoter_ZBTB33	peak_CM_HP_MN_PP_SKM_358839_promoter_ZBTB33	43	33	43	33	0.3018724904870079
peak_HP_PP_SKM_15740_enhancer_ABCA4_51950.0_GCLM_159579.0	peak_HP_PP_SKM_15740_enhancer_ABCA4_51718.5_GCLM_159977.5	19	27	19	27	0.3019956131896606
peak_CM_HP_MN_PP_SKM_175685_enhancer_FAM161A_89572.0_CCT4_123804.0	peak_CM_HP_MN_PP_SKM_175685_enhancer_FAM161A_89632.0_CCT4_124214.0	38	28	38	28	0.2678116648465871
peak_CM_HP_MN_PP_SKM_128574_promoter_PDPR	peak_CM_HP_MN_PP_SKM_128574_promoter_PDPR	37	16	37	16	0.005486344876760141
peak_CM_HP_MN_PP_SKM_195245_enhancer_PTMA_1837.5_PDE6D_71389.0	peak_CM_HP_MN_PP_SKM_195245_enhancer_PTMA_1832.0_PDE6D_70897.0	41	26	41	26	0.08643723427347082
peak_CM_HP_MN_PP_SKM_103855_promoter_PELI2	peak_CM_HP_MN_PP_SKM_103855_promoter_PELI2	40	27	40	27	0.1420713794263756
peak_CM_HP_MN_PP_SKM_76274_promoter_SCAF11	peak_CM_HP_MN_PP_SKM_76274_promoter_SCAF11	51	63	51	63	0.302877552630325
peak_CM_HP_MN_PP_SKM_284054_promoter_GFOD1	peak_CM_HP_MN_PP_SKM_284054_promoter_GFOD1	63	51	63	51	0.302877552630325
peak_CM_HP_MN_PP_SKM_353108_promoter_CERCAM	peak_CM_HP_MN_PP_SKM_353108_promoter_CERCAM	51	63	51	63	0.302877552630325
peak_CM_HP_MN_PP_SKM_112913_promoter_TP53BP1	peak_CM_HP_MN_PP_SKM_112913_promoter_TP53BP1	66	91	66	91	0.055093468867962105
peak_CM_HP_MN_PP_SKM_133673_promoter_FXR2	peak_CM_HP_MN_PP_SKM_133673_promoter_FXR2	85	99	85	99	0.33789427995534355
peak_CM_HP_PP_SKM_287973_promoter_SLC29A1	peak_CM_HP_PP_SKM_287973_promoter_SLC29A1	30	18	30	18	0.11140289106101878
peak_CM_HP_MN_PP_SKM_84339_promoter_ALDH1L2	peak_CM_HP_MN_PP_SKM_84339_promoter_ALDH1L2	20	31	20	31	0.16077960181198847
peak_CM_SKM_239869_enhancer_GHSR_128600.5_TNFSF10_202747.0	peak_CM_SKM_239869_enhancer_GHSR_128642.5_TNFSF10_203640.5	22	31	22	31	0.27167916606550335
peak_CM_HP_MN_PP_SKM_57371_enhancer_CD82_45279.0_TSPAN18_204612.0	peak_CM_HP_MN_PP_SKM_57371_enhancer_CD82_45279.5_TSPAN18_206599.5	47	35	47	35	0.22424452830608183
peak_CM_HP_MN_PP_SKM_214239_promoter_IL17RA	peak_CM_HP_MN_PP_SKM_214239_promoter_IL17RA	22	36	22	36	0.08694889972991102
peak_CM_HP_PP_SKM_85620_enhancer_ATXN2_37235.0_BRAP_49173.0	peak_CM_HP_PP_SKM_85620_enhancer_ATXN2_37150.5_BRAP_49468.5	21	30	21	30	0.2624375357110438
peak_CM_HP_MN_PP_SKM_112840_promoter_UBR1	peak_CM_HP_MN_PP_SKM_112840_promoter_UBR1	33	21	33	21	0.13367423536410522
peak_CM_HP_MN_PP_SKM_136394_promoter_PHF12	peak_CM_HP_MN_PP_SKM_136394_promoter_PHF12	109	88	109	88	0.15399515472928663
peak_CM_HP_MN_PP_SKM_77913_promoter_TARBP2_MAP3K12	peak_CM_HP_MN_PP_SKM_77913_promoter_MAP3K12_TARBP2	109	92	109	92	0.2590335472172408
peak_CM_HP_MN_PP_SKM_359614_promoter_CETN2_NSDHL	peak_CM_HP_MN_PP_SKM_359614_promoter_NSDHL_CETN2	50	37	50	37	0.1979791406725175
peak_CM_HP_MN_PP_SKM_104385_promoter_SIX1	peak_CM_HP_MN_PP_SKM_104385_promoter_SIX1	31	22	31	22	0.27167916606550335
peak_CM_HP_MN_PP_SKM_232365_promoter_SPICE1	peak_CM_HP_MN_PP_SKM_232365_promoter_SPICE1	30	20	30	20	0.20263875106454066
peak_CM_HP_MN_PP_SKM_67994_promoter_SLC37A4	peak_CM_HP_MN_PP_SKM_67994_promoter_SLC37A4	23	33	23	33	0.2288055412343561
peak_CM_HP_MN_PP_SKM_155674_promoter_DAPK3	peak_CM_HP_MN_PP_SKM_155674_promoter_DAPK3	73	86	73	86	0.3412944918305003
peak_CM_HP_MN_PP_SKM_114104_promoter_NEDD4	peak_CM_HP_MN_PP_SKM_114104_promoter_NEDD4	42	53	42	53	0.30488519070227554
peak_CM_HP_MN_PP_SKM_315833_promoter_HBP1	peak_CM_HP_MN_PP_SKM_315833_promoter_HBP1	162	181	162	181	0.3311029613077469
peak_CM_HP_PP_SKM_287977_enhancer_SLC29A1_11136.5_HSP90AB1_12494.0	peak_CM_HP_PP_SKM_287977_enhancer_SLC29A1_11056.0_HSP90AB1_12466.0	35	26	35	26	0.30567741986311836
peak_CM_HP_MN_PP_SKM_163235_promoter_RAB4B_EGLN2_MIA	peak_CM_HP_MN_PP_SKM_163235_promoter_RAB4B_EGLN2_MIA	26	35	26	35	0.30567741986311836
peak_CM_HP_MN_PP_SKM_59839_promoter_NAA40	peak_CM_HP_MN_PP_SKM_59839_promoter_NAA40	35	26	35	26	0.30567741986311836
peak_CM_HP_MN_PP_SKM_19323_promoter_VPS45	peak_CM_HP_MN_PP_SKM_19323_promoter_VPS45	42	53	42	53	0.30488519070227554
peak_CM_HP_MN_PP_SKM_211619_promoter_GART_SON	peak_CM_HP_MN_PP_SKM_211619_promoter_GART_SON	62	74	62	74	0.34559256586088544
peak_CM_HP_MN_PP_SKM_253420_promoter_UNC5C	peak_CM_HP_MN_PP_SKM_253420_promoter_UNC5C	43	29	43	29	0.12491820036864004
peak_CM_HP_MN_PP_SKM_164708_enhancer_GNG8_4097.0_PTGIR_13838.5	peak_CM_HP_MN_PP_SKM_164708_enhancer_GNG8_4144.5_PTGIR_14004.5	70	56	70	56	0.24670624718941742
peak_CM_HP_MN_PP_SKM_315220_promoter_FBXL13_ARMC10	peak_CM_HP_MN_PP_SKM_315220_promoter_FBXL13_ARMC10	88	71	88	71	0.20433958933821783
peak_CM_HP_MN_PP_SKM_78362_promoter_DNAJC14	peak_CM_HP_MN_PP_SKM_78362_promoter_DNAJC14	101	81	101	81	0.15883333227241994
peak_CM_HP_MN_PP_SKM_20366_promoter_EFNA4_EFNA3	peak_CM_HP_MN_PP_SKM_20366_promoter_EFNA4_EFNA3	46	58	46	58	0.2806903290341796
peak_CM_HP_PP_SKM_44831_enhancer_MYOF_23199.0_CEP55_37519.5	peak_CM_HP_PP_SKM_44831_enhancer_MYOF_23192.5_CEP55_37523.5	41	30	41	30	0.23509756240834187
peak_CM_HP_MN_PP_SKM_169280_enhancer_ROCK2_30281.0_E2F6_91123.0	peak_CM_HP_MN_PP_SKM_169280_enhancer_ROCK2_30229.5_E2F6_91153.5	41	30	41	30	0.23509756240834187
peak_CM_HP_MN_PP_SKM_163629_promoter_MEGF8	peak_CM_HP_MN_PP_SKM_163629_promoter_MEGF8	39	27	39	27	0.17528579444303533
peak_CM_HP_MN_PP_SKM_10097_promoter_NSUN4	peak_CM_HP_MN_PP_SKM_10097_promoter_NSUN4	41	30	41	30	0.23509756240834187
peak_CM_HP_MN_PP_SKM_135884_promoter_MAP2K3	peak_CM_HP_MN_PP_SKM_135884_promoter_MAP2K3	48	62	48	62	0.2149765377432966
peak_CM_HP_MN_PP_SKM_161495_promoter_CEBPG	peak_CM_HP_MN_PP_SKM_161495_promoter_CEBPG	65	52	65	52	0.26718230499039586
peak_CM_HP_MN_PP_SKM_189751_promoter_ITGAV	peak_CM_HP_MN_PP_SKM_189751_promoter_ITGAV	89	69	89	69	0.130385703847906
peak_CM_HP_MN_PP_SKM_2156_promoter_TMEM201	peak_CM_HP_MN_PP_SKM_2156_promoter_TMEM201	52	63	52	63	0.3511253697554325
peak_CM_HP_MN_PP_SKM_46422_promoter_PPRC1	peak_CM_HP_MN_PP_SKM_46422_promoter_PPRC1	52	63	52	63	0.3511253697554325
peak_CM_HP_MN_PP_SKM_2512_promoter_TARDBP	peak_CM_HP_MN_PP_SKM_2512_promoter_TARDBP	52	63	52	63	0.3511253697554325
peak_CM_HP_MN_PP_SKM_28040_enhancer_CD34_52369.5_CD46_211281.5	peak_CM_HP_MN_PP_SKM_28040_enhancer_CD34_52358.5_CD46_211456.5	34	44	34	44	0.3081682319436807
peak_CM_HP_MN_PP_SKM_224375_promoter_EIF1B	peak_CM_HP_MN_PP_SKM_224375_promoter_EIF1B	34	44	34	44	0.3081682319436807
peak_CM_HP_MN_PP_SKM_292838_promoter_GPR63	peak_CM_HP_MN_PP_SKM_292838_promoter_GPR63	34	44	34	44	0.3081682319436807
peak_CM_HP_MN_PP_SKM_359094_promoter_ENOX2	peak_CM_HP_MN_PP_SKM_359094_promoter_ENOX2	34	44	34	44	0.3081682319436807
peak_CM_HP_MN_PP_SKM_274352_promoter_MEGF10	peak_CM_HP_MN_PP_SKM_274352_promoter_MEGF10	34	44	34	44	0.3081682319436807
peak_CM_HP_MN_PP_SKM_81025_promoter_BBS10	peak_CM_HP_MN_PP_SKM_81025_promoter_BBS10	34	44	34	44	0.3081682319436807
peak_CM_HP_MN_PP_SKM_133777_enhancer_CHD3_2586.5_CYB5D1_29564.0	peak_CM_HP_MN_PP_SKM_133777_enhancer_CHD3_2595.5_CYB5D1_29519.0	44	34	44	34	0.3081682319436807
peak_CM_HP_MN_PP_SKM_243492_promoter_FGFR3	peak_CM_HP_MN_PP_SKM_243492_promoter_FGFR3	34	44	34	44	0.3081682319436807
peak_CM_HP_MN_PP_SKM_357178_enhancer_GLOD5_24605.5_SUV39H1_40749.5	peak_CM_HP_MN_PP_SKM_357178_enhancer_GLOD5_24325.5_SUV39H1_40786.0	53	40	53	40	0.21315300096890763
peak_CM_HP_MN_PP_SKM_39966_promoter_SLC16A9	peak_CM_HP_MN_PP_SKM_39966_promoter_SLC16A9	48	35	48	35	0.18745986796619285
peak_CM_HP_MN_PP_SKM_154754_promoter_MBD3	peak_CM_HP_MN_PP_SKM_154754_promoter_MBD3	34	48	34	48	0.15067520762630385
peak_CM_HP_MN_PP_SKM_129858_promoter_C16orf46	peak_CM_HP_MN_PP_SKM_129858_promoter_C16orf46	69	43	69	43	0.01776578128038706
peak_CM_HP_MN_PP_SKM_41003_promoter_HK1	peak_CM_HP_MN_PP_SKM_41003_promoter_HK1	48	62	48	62	0.2149765377432966
peak_CM_HP_MN_PP_SKM_317027_promoter_CTTNBP2	peak_CM_HP_MN_PP_SKM_317027_promoter_CTTNBP2	31	22	31	22	0.27167916606550335
peak_CM_HP_MN_PP_SKM_311635_enhancer_HSPB1_11399.0_YWHAG_66851.5	peak_CM_HP_MN_PP_SKM_311635_enhancer_HSPB1_11476.5_YWHAG_67248.0	32	23	32	23	0.2806097176983541
peak_CM_HP_MN_PP_SKM_254042_promoter_SLC39A8	peak_CM_HP_MN_PP_SKM_254042_promoter_SLC39A8	22	31	22	31	0.27167916606550335
peak_HP_MN_243191_enhancer_CPLX1_61678.0_GAK_63828.5	peak_HP_MN_243191_enhancer_GAK_49948.5_TMEM175_50084.5	32	22	32	22	0.22032849417661093
peak_CM_HP_MN_PP_SKM_19327_promoter_PLEKHO1	peak_CM_HP_MN_PP_SKM_19327_promoter_PLEKHO1	24	36	24	36	0.1550019040032606
peak_SKM_36654_enhancer_MKX_122366.5_MKX_124644.0	peak_SKM_36654_enhancer_RAB18_116720.0_MKX_122489.5	32	21	32	21	0.16897782228771874
peak_CM_HP_MN_PP_SKM_179415_promoter_LMAN2L	peak_CM_HP_MN_PP_SKM_179415_promoter_LMAN2L	22	31	22	31	0.27167916606550335
peak_CM_HP_MN_PP_SKM_156469_enhancer_ACSBG2_63761.5_MLLT1_82220.0	peak_CM_HP_MN_PP_SKM_156469_enhancer_ACSBG2_63920.0_MLLT1_80413.5	23	35	23	35	0.14800580076020603
peak_CM_HP_MN_PP_SKM_19599_promoter_PI4KB	peak_CM_HP_MN_PP_SKM_19599_promoter_PI4KB	22	33	22	33	0.1770013647703581
peak_CM_HP_MN_PP_SKM_19582_promoter_ZNF687	peak_CM_HP_MN_PP_SKM_19582_promoter_ZNF687	188	161	188	161	0.16390454753018274
peak_CM_HP_MN_PP_SKM_4583_promoter_DDOST	peak_CM_HP_MN_PP_SKM_4583_promoter_DDOST	54	36	54	36	0.07254953219246177
peak_CM_HP_MN_PP_SKM_226517_promoter_TEX264	peak_CM_HP_MN_PP_SKM_226517_promoter_TEX264	30	41	30	41	0.23509756240834187
peak_CM_HP_MN_PP_SKM_325282_promoter_LOXL2	peak_CM_HP_MN_PP_SKM_325282_promoter_LOXL2	43	33	43	33	0.3018724904870079
peak_CM_HP_MN_PP_SKM_139909_enhancer_SGCA_3118.5_SGCA_12285.0	peak_CM_HP_MN_PP_SKM_139909_enhancer_SGCA_3122.5_SGCA_12292.5	38	50	38	50	0.2407931245390016
peak_CM_HP_MN_PP_SKM_109400_promoter_CCDC85C	peak_CM_HP_MN_PP_SKM_109400_promoter_CCDC85C	102	86	102	86	0.2739199868727064
peak_CM_HP_MN_PP_SKM_281543_enhancer_PHYKPL_47597.5_HNRNPAB_77611.5	peak_CM_HP_MN_PP_SKM_281543_enhancer_PHYKPL_47097.0_HNRNPAB_75262.5	20	28	20	28	0.31232680747326935
peak_CM_HP_MN_PP_SKM_340922_promoter_KIAA2026	peak_CM_HP_MN_PP_SKM_340922_promoter_KIAA2026	54	43	54	43	0.30993353423900727
peak_CM_HP_MN_PP_SKM_156032_enhancer_PLIN3_10664.0_ARRDC5_23198.5	peak_CM_HP_MN_PP_SKM_156032_enhancer_PLIN3_10940.0_ARRDC5_24291.5	28	20	28	20	0.31232680747326935
peak_MN_SKM_91508_enhancer_MEDAG_24616.5_TEX26_51057.0	peak_MN_SKM_91508_enhancer_MEDAG_24606.5_TEX26_51011.0	20	28	20	28	0.31232680747326935
peak_CM_HP_MN_PP_SKM_121904_enhancer_ZNF205_5980.5_ZSCAN10_7303.5	peak_CM_HP_MN_PP_SKM_121904_enhancer_ZNF205_6049.0_ZSCAN10_7284.0	20	28	20	28	0.31232680747326935
peak_CM_HP_MN_PP_SKM_114415_promoter_SLTM	peak_CM_HP_MN_PP_SKM_114415_promoter_SLTM	28	20	28	20	0.31232680747326935
peak_CM_HP_MN_PP_SKM_78488_promoter_NABP2	peak_CM_HP_MN_PP_SKM_78488_promoter_NABP2	43	54	43	54	0.30993353423900727
peak_CM_MN_PP_243274_promoter_SPON2	peak_CM_MN_PP_243274_promoter_SPON2	20	28	20	28	0.31232680747326935
peak_CM_HP_MN_PP_SKM_314132_promoter_TRRAP	peak_CM_HP_MN_PP_SKM_314132_promoter_TRRAP	53	64	53	64	0.35527968165224744
peak_CM_HP_MN_PP_SKM_116926_promoter_ARID3B	peak_CM_HP_MN_PP_SKM_116926_promoter_ARID3B	28	20	28	20	0.31232680747326935
peak_CM_MN_PP_SKM_73081_enhancer_EMP1_193127.0_GSG1_285794.5	peak_CM_MN_PP_SKM_73081_enhancer_EMP1_193888.0_GSG1_286984.5	20	28	20	28	0.31232680747326935
peak_CM_HP_MN_PP_SKM_168337_promoter_SOX11	peak_CM_HP_MN_PP_SKM_168337_promoter_SOX11	89	74	89	74	0.2727839165101232
peak_CM_HP_MN_PP_SKM_30747_enhancer_TRIM11_27858.0_TRIM17_37817.0	peak_CM_HP_MN_PP_SKM_30747_enhancer_TRIM11_28367.5_TRIM17_38344.5	36	27	36	27	0.31350305329645284
peak_CM_HP_MN_PP_SKM_53481_promoter_DKK3	peak_CM_HP_MN_PP_SKM_53481_promoter_DKK3	27	36	27	36	0.31350305329645284
