gene	chrom	ref_counts	alt_counts	no_ase_counts	ambig_ase_counts
A1BG	chr19	147	154	237	0
A1CF	chr10	4	0	2	0
A2M	chr12	1	0	6	0
A2ML1	chr12	1	0	0	0
A3GALT2	chr1	1	1	4	0
A4GALT	chr22	13	26	34	0
A4GNT	chr3	0	2	0	0
AAAS	chr12	812	1074	2782	0
AACS	chr12	472	348	918	0
AADAC	chr3	0	0	0	0
AADACL2	chr3	0	0	0	0
AADACL3	chr1	0	0	0	0
AADACL4	chr1	0	0	0	0
AADAT	chr4	596	974	1184	0
AAGAB	chr15	651	765	1186	1
AAK1	chr2A	2073	2572	4791	3
AAMDC	chr11	16	34	111	0
AAMP	chr2B	910	784	3922	4
AANAT	chr17	1	1	1	0
AARD	chr8	2	2	2	0
AARS2	chr6	325	320	1429	0
AARSD1	chr17	602	635	1524	0
AASDH	chr4	122	135	717	0
AASDHPPT	chr11	1489	1952	4650	5
AASS	chr7	154	117	153	2
AATF	chr17	391	361	1009	3
AATK	chr17	1028	924	487	2
ABAT	chr16	1872	1635	1777	2
ABCA1	chr9	478	370	1215	1
ABCA10	chr17	3	13	9	0
ABCA12	chr2B	3	1	5	0
ABCA13	chr7	0	0	0	0
ABCA2	chr9	3968	7616	9978	5
ABCA3	chr16	3791	3491	3268	12
ABCA4	chr1	0	0	1	0
ABCA5	chr17	214	197	724	1
ABCA6	chr17	2	1	4	0
ABCA7	chr19	2579	1957	1877	3
ABCA8	chr17	3	0	0	0
ABCA9	chr17	3	6	4	0
ABCB1	chr7	8	5	15	0
ABCB10	chr1	161	104	477	0
ABCB11	chr2B	0	0	4	0
ABCB4	chr7	41	4	83	0
ABCB5	chr7	0	1	0	0
ABCB6	chr2B	583	755	1100	0
ABCB7	chrX	121	164	1315	0
ABCB8	chr7	1190	975	897	0
ABCB9	chr12	1180	1159	799	3
ABCC1	chr16	880	761	1200	1
ABCC10	chr6	882	1131	1819	1
ABCC11	chr16	2	2	121	0
ABCC12	chr16	3	1	0	0
ABCC2	chr10	18	32	93	0
ABCC3	chr17	1	1	2	0
ABCC4	chr13	58	51	92	0
ABCC5	chr3	2117	2088	7119	0
ABCC6	chr16	29	10	23	0
ABCC8	chr11	359	880	1223	2
ABCC9	chr12	1	6	20	0
ABCD1	chrX	553	452	582	1
ABCD2	chr12	1	4	12	0
ABCD3	chr1	321	395	1017	1
ABCD4	chr14	1906	1596	2672	6
ABCE1	chr4	317	355	2629	0
ABCF1	chr6	676	923	2920	1
ABCF2	chr7	442	550	2021	0
ABCF3	chr3	517	607	1778	1
ABCG1	chr21	282	409	549	0
ABCG2	chr4	0	0	1	0
ABCG4	chr11	240	204	649	0
ABCG5	chr2A	4	27	8	0
ABCG8	chr2A	3	2	5	0
ABHD1	chr2A	6	14	21	0
ABHD10	chr3	378	302	1349	1
